Date,Open,High,Low,Close,Volume
11-05-2018,981.25,991.299988,977.75,989.25,4011516
14-05-2018,991.950012,991.950012,976.700012,986.599976,2579561
15-05-2018,983.049988,1000,976.650024,978.950012,4800923
16-05-2018,974,974,952.450012,956.150024,8613363
17-05-2018,959.349976,960,941.5,945.349976,4733477
18-05-2018,945.599976,953.5,932,933.849976,5230037
21-05-2018,930.75,935.700012,922.099976,931.349976,6624893
22-05-2018,933.150024,934,925,926.75,5170585
23-05-2018,926,926,909.150024,912.25,4567562
24-05-2018,914,921,910.150024,915.849976,5317983
25-05-2018,916,923.400024,914.450012,920.799988,8129520
28-05-2018,924.900024,927,918.099976,920.400024,5197835
29-05-2018,921.5,928,914.400024,917.450012,8173396
30-05-2018,914.849976,923.200012,906.599976,916.099976,5991222
31-05-2018,921,922.299988,914.549988,921.349976,16951801
01-06-2018,920,935.75,918.450012,930.549988,8765835
04-06-2018,933.400024,944,930.549988,940.849976,5600357
05-06-2018,942.799988,955,941,947.650024,7971524
06-06-2018,947,956,942.650024,954.400024,4189483
07-06-2018,954.900024,976,954.450012,971.349976,6857300
08-06-2018,966.349976,986.549988,960.599976,984.349976,6532599
11-06-2018,987.099976,999.950012,979.049988,982.650024,6866053
12-06-2018,983.400024,1000,980.299988,997.150024,7445221
13-06-2018,1000,1005.900024,989.5,1002.5,5926020
14-06-2018,997.450012,1011.799988,987.400024,1007.950012,5484867
15-06-2018,1006,1023.5,999.25,1014.200012,11294702
18-06-2018,1008.799988,1020.450012,1007,1015.549988,5652374
19-06-2018,1013.900024,1014.799988,993.650024,996.049988,6346101
20-06-2018,996,1022.900024,994.849976,1019.25,7193824
21-06-2018,1023.450012,1036,1021.299988,1031.949951,10509756
22-06-2018,1028.400024,1029.199951,1008.450012,1012.5,16169978
25-06-2018,1011.400024,1016.5,1002.299988,1004.450012,5197694
26-06-2018,1006,1006,975.25,978.950012,8068585
27-06-2018,978.5,985.400024,962.700012,965.849976,8958555
28-06-2018,962,968.5,940.299988,944.950012,8581234
29-06-2018,949.099976,975.5,949,972.450012,7966401
02-07-2018,972.349976,972.349976,957,960.599976,6660916
03-07-2018,965,978.450012,960.349976,971.299988,5067261
04-07-2018,971.799988,992,971,990.099976,5000724
05-07-2018,997,1008.400024,958.599976,964.5,18719353
06-07-2018,964.75,983,964.5,977.549988,9161266
09-07-2018,987.099976,1000,983.5,997.099976,5170189
10-07-2018,1002.75,1028.5,1000,1025.699951,10444513
